cluster,method,k,radius_cos,covered_frac,p
0,MMR,10,0.05,0.004177109440267335,
0,MMR,10,0.1,0.004177109440267335,
0,MMR,10,0.2,0.03926482873851295,
0,MMR,10,0.3,0.28362573099415206,
0,MMR_adaptive,10,0.2368653655052185,0.10025062656641603,0.1
0,MMR_adaptive,10,0.2902860790491104,0.2502088554720134,0.25
0,MMR_adaptive,10,0.364890992641449,0.5,0.5
0,MMR_adaptive,10,0.4425833970308304,0.7497911445279867,0.75
0,FPS,10,0.05,0.004177109440267335,
0,FPS,10,0.1,0.004177109440267335,
0,FPS,10,0.2,0.004594820384294068,
0,FPS,10,0.3,0.05179615705931495,
0,FPS_adaptive,10,0.33559365272521974,0.10025062656641603,0.1
0,FPS_adaptive,10,0.39189423620700836,0.2502088554720134,0.25
0,FPS_adaptive,10,0.47062796354293823,0.5,0.5
0,FPS_adaptive,10,0.5503953248262405,0.7497911445279867,0.75
1,MMR,1,0.05,1.0,
1,MMR,1,0.1,1.0,
1,MMR,1,0.2,1.0,
1,MMR,1,0.3,1.0,
1,MMR_adaptive,1,1.1920928955078125e-07,1.0,0.1
1,MMR_adaptive,1,1.1920928955078125e-07,1.0,0.25
1,MMR_adaptive,1,1.1920928955078125e-07,1.0,0.5
1,MMR_adaptive,1,1.1920928955078125e-07,1.0,0.75
1,FPS,1,0.05,1.0,
1,FPS,1,0.1,1.0,
1,FPS,1,0.2,1.0,
1,FPS,1,0.3,1.0,
1,FPS_adaptive,1,1.1920928955078125e-07,1.0,0.1
1,FPS_adaptive,1,1.1920928955078125e-07,1.0,0.25
1,FPS_adaptive,1,1.1920928955078125e-07,1.0,0.5
1,FPS_adaptive,1,1.1920928955078125e-07,1.0,0.75
