cluster,method,k,radius_cos,covered_frac
0,MMR,10,0.05,0.37037037037037035
0,MMR,10,0.1,0.37037037037037035
0,MMR,10,0.2,0.5185185185185185
0,MMR,10,0.3,0.7037037037037037
0,FPS,10,0.05,0.37037037037037035
0,FPS,10,0.1,0.37037037037037035
0,FPS,10,0.2,0.4074074074074074
0,FPS,10,0.3,0.6296296296296297
1,MMR,10,0.05,0.05555555555555555
1,MMR,10,0.1,0.05555555555555555
1,MMR,10,0.2,0.3333333333333333
1,MMR,10,0.3,0.8722222222222222
1,FPS,10,0.05,0.05555555555555555
1,FPS,10,0.1,0.05555555555555555
1,FPS,10,0.2,0.05555555555555555
1,FPS,10,0.3,0.2388888888888889
2,MMR,10,0.05,0.15625
2,MMR,10,0.1,0.15625
2,MMR,10,0.2,0.15625
2,MMR,10,0.3,0.4375
2,FPS,10,0.05,0.15625
2,FPS,10,0.1,0.15625
2,FPS,10,0.2,0.15625
2,FPS,10,0.3,0.171875
3,MMR,10,0.05,0.18518518518518517
3,MMR,10,0.1,0.18518518518518517
3,MMR,10,0.2,0.25925925925925924
3,MMR,10,0.3,0.6481481481481481
3,FPS,10,0.05,0.18518518518518517
3,FPS,10,0.1,0.18518518518518517
3,FPS,10,0.2,0.18518518518518517
3,FPS,10,0.3,0.2222222222222222
4,MMR,10,0.05,0.09090909090909091
4,MMR,10,0.1,0.09090909090909091
4,MMR,10,0.2,0.2727272727272727
4,MMR,10,0.3,0.5909090909090909
4,FPS,10,0.05,0.09090909090909091
4,FPS,10,0.1,0.09090909090909091
4,FPS,10,0.2,0.11818181818181818
4,FPS,10,0.3,0.37272727272727274
