cluster,method,k,radius_cos,covered_frac
0,MMR,10,0.05,0.019801980198019802
0,MMR,10,0.1,0.019801980198019802
0,MMR,10,0.2,0.18415841584158416
0,MMR,10,0.3,0.6792079207920793
0,MMR,10,0.05,0.019801980198019802
0,MMR,10,0.1,0.019801980198019802
0,MMR,10,0.2,0.18415841584158416
0,MMR,10,0.3,0.6792079207920793
0,MMR,10,0.05,0.019801980198019802
0,MMR,10,0.1,0.019801980198019802
0,MMR,10,0.2,0.18415841584158416
0,MMR,10,0.3,0.6792079207920793
0,MMR,10,0.05,0.019801980198019802
0,MMR,10,0.1,0.019801980198019802
0,MMR,10,0.2,0.18415841584158416
0,MMR,10,0.3,0.6792079207920793
0,MMR,10,0.05,0.019801980198019802
0,MMR,10,0.1,0.019801980198019802
0,MMR,10,0.2,0.18415841584158416
0,MMR,10,0.3,0.6792079207920793
0,MMR,10,0.05,0.019801980198019802
0,MMR,10,0.1,0.019801980198019802
0,MMR,10,0.2,0.18415841584158416
0,MMR,10,0.3,0.6792079207920793
0,MMR,10,0.05,0.019801980198019802
0,MMR,10,0.1,0.019801980198019802
0,MMR,10,0.2,0.18415841584158416
0,MMR,10,0.3,0.6792079207920793
0,MMR,10,0.05,0.019801980198019802
0,MMR,10,0.1,0.019801980198019802
0,MMR,10,0.2,0.18415841584158416
0,MMR,10,0.3,0.6792079207920793
0,MMR,10,0.05,0.019801980198019802
0,MMR,10,0.1,0.019801980198019802
0,MMR,10,0.2,0.18415841584158416
0,MMR,10,0.3,0.6792079207920793
0,MMR,10,0.05,0.019801980198019802
0,MMR,10,0.1,0.019801980198019802
0,MMR,10,0.2,0.18415841584158416
0,MMR,10,0.3,0.6792079207920793
0,FPS,10,0.05,0.019801980198019802
0,FPS,10,0.1,0.019801980198019802
0,FPS,10,0.2,0.019801980198019802
0,FPS,10,0.3,0.061386138613861385
0,FPS,10,0.05,0.019801980198019802
0,FPS,10,0.1,0.019801980198019802
0,FPS,10,0.2,0.019801980198019802
0,FPS,10,0.3,0.061386138613861385
0,FPS,10,0.05,0.019801980198019802
0,FPS,10,0.1,0.019801980198019802
0,FPS,10,0.2,0.019801980198019802
0,FPS,10,0.3,0.061386138613861385
0,FPS,10,0.05,0.019801980198019802
0,FPS,10,0.1,0.019801980198019802
0,FPS,10,0.2,0.019801980198019802
0,FPS,10,0.3,0.061386138613861385
0,FPS,10,0.05,0.019801980198019802
0,FPS,10,0.1,0.019801980198019802
0,FPS,10,0.2,0.019801980198019802
0,FPS,10,0.3,0.061386138613861385
0,FPS,10,0.05,0.019801980198019802
0,FPS,10,0.1,0.019801980198019802
0,FPS,10,0.2,0.019801980198019802
0,FPS,10,0.3,0.061386138613861385
0,FPS,10,0.05,0.019801980198019802
0,FPS,10,0.1,0.019801980198019802
0,FPS,10,0.2,0.019801980198019802
0,FPS,10,0.3,0.061386138613861385
0,FPS,10,0.05,0.019801980198019802
0,FPS,10,0.1,0.019801980198019802
0,FPS,10,0.2,0.019801980198019802
0,FPS,10,0.3,0.061386138613861385
0,FPS,10,0.05,0.019801980198019802
0,FPS,10,0.1,0.019801980198019802
0,FPS,10,0.2,0.019801980198019802
0,FPS,10,0.3,0.061386138613861385
0,FPS,10,0.05,0.019801980198019802
0,FPS,10,0.1,0.019801980198019802
0,FPS,10,0.2,0.019801980198019802
0,FPS,10,0.3,0.061386138613861385
1,MMR,10,0.05,0.024691358024691357
1,MMR,10,0.1,0.027160493827160494
1,MMR,10,0.2,0.1580246913580247
1,MMR,10,0.3,0.582716049382716
1,MMR,10,0.05,0.024691358024691357
1,MMR,10,0.1,0.027160493827160494
1,MMR,10,0.2,0.1580246913580247
1,MMR,10,0.3,0.582716049382716
1,MMR,10,0.05,0.024691358024691357
1,MMR,10,0.1,0.027160493827160494
1,MMR,10,0.2,0.1580246913580247
1,MMR,10,0.3,0.582716049382716
1,MMR,10,0.05,0.024691358024691357
1,MMR,10,0.1,0.027160493827160494
1,MMR,10,0.2,0.1580246913580247
1,MMR,10,0.3,0.582716049382716
1,MMR,10,0.05,0.024691358024691357
1,MMR,10,0.1,0.027160493827160494
1,MMR,10,0.2,0.1580246913580247
1,MMR,10,0.3,0.582716049382716
1,MMR,10,0.05,0.024691358024691357
1,MMR,10,0.1,0.027160493827160494
1,MMR,10,0.2,0.1580246913580247
1,MMR,10,0.3,0.582716049382716
1,MMR,10,0.05,0.024691358024691357
1,MMR,10,0.1,0.027160493827160494
1,MMR,10,0.2,0.1580246913580247
1,MMR,10,0.3,0.582716049382716
