cluster,method,k,radius_cos,covered_frac
0,MMR,10,0.05,0.14705882352941177
0,MMR,10,0.1,0.14705882352941177
0,MMR,10,0.2,0.39705882352941174
0,MMR,10,0.3,0.8676470588235294
0,FPS,10,0.05,0.14705882352941177
0,FPS,10,0.1,0.14705882352941177
0,FPS,10,0.2,0.14705882352941177
0,FPS,10,0.3,0.6911764705882353
1,MMR,10,0.05,0.11904761904761904
1,MMR,10,0.1,0.13095238095238096
1,MMR,10,0.2,0.17857142857142858
1,MMR,10,0.3,0.4880952380952381
1,FPS,10,0.05,0.11904761904761904
1,FPS,10,0.1,0.11904761904761904
1,FPS,10,0.2,0.14285714285714285
1,FPS,10,0.3,0.17857142857142858
2,MMR,10,0.05,0.10204081632653061
2,MMR,10,0.1,0.10204081632653061
2,MMR,10,0.2,0.5408163265306123
2,MMR,10,0.3,0.9081632653061225
2,FPS,10,0.05,0.10204081632653061
2,FPS,10,0.1,0.10204081632653061
2,FPS,10,0.2,0.1836734693877551
2,FPS,10,0.3,0.7653061224489796
