cluster,method,k,radius_cos,covered_frac
0,MMR,10,0.05,0.0970873786407767
0,MMR,10,0.1,0.0970873786407767
0,MMR,10,0.2,0.17475728155339806
0,MMR,10,0.3,0.5436893203883495
0,MMR,10,0.05,0.0970873786407767
0,MMR,10,0.1,0.0970873786407767
0,MMR,10,0.2,0.17475728155339806
0,MMR,10,0.3,0.5436893203883495
0,MMR,10,0.05,0.0970873786407767
0,MMR,10,0.1,0.0970873786407767
0,MMR,10,0.2,0.17475728155339806
0,MMR,10,0.3,0.5436893203883495
0,MMR,10,0.05,0.0970873786407767
0,MMR,10,0.1,0.0970873786407767
0,MMR,10,0.2,0.17475728155339806
0,MMR,10,0.3,0.5436893203883495
0,MMR,10,0.05,0.0970873786407767
0,MMR,10,0.1,0.0970873786407767
0,MMR,10,0.2,0.17475728155339806
0,MMR,10,0.3,0.5436893203883495
0,MMR,10,0.05,0.0970873786407767
0,MMR,10,0.1,0.0970873786407767
0,MMR,10,0.2,0.17475728155339806
0,MMR,10,0.3,0.5436893203883495
0,MMR,10,0.05,0.0970873786407767
0,MMR,10,0.1,0.0970873786407767
0,MMR,10,0.2,0.17475728155339806
0,MMR,10,0.3,0.5436893203883495
0,MMR,10,0.05,0.0970873786407767
0,MMR,10,0.1,0.0970873786407767
0,MMR,10,0.2,0.17475728155339806
0,MMR,10,0.3,0.5436893203883495
0,MMR,10,0.05,0.0970873786407767
0,MMR,10,0.1,0.0970873786407767
0,MMR,10,0.2,0.17475728155339806
0,MMR,10,0.3,0.5436893203883495
0,MMR,10,0.05,0.0970873786407767
0,MMR,10,0.1,0.0970873786407767
0,MMR,10,0.2,0.17475728155339806
0,MMR,10,0.3,0.5436893203883495
0,FPS,10,0.05,0.0970873786407767
0,FPS,10,0.1,0.0970873786407767
0,FPS,10,0.2,0.10679611650485436
0,FPS,10,0.3,0.32038834951456313
0,FPS,10,0.05,0.0970873786407767
0,FPS,10,0.1,0.0970873786407767
0,FPS,10,0.2,0.10679611650485436
0,FPS,10,0.3,0.32038834951456313
0,FPS,10,0.05,0.0970873786407767
0,FPS,10,0.1,0.0970873786407767
0,FPS,10,0.2,0.10679611650485436
0,FPS,10,0.3,0.32038834951456313
0,FPS,10,0.05,0.0970873786407767
0,FPS,10,0.1,0.0970873786407767
0,FPS,10,0.2,0.10679611650485436
0,FPS,10,0.3,0.32038834951456313
0,FPS,10,0.05,0.0970873786407767
0,FPS,10,0.1,0.0970873786407767
0,FPS,10,0.2,0.10679611650485436
0,FPS,10,0.3,0.32038834951456313
0,FPS,10,0.05,0.0970873786407767
0,FPS,10,0.1,0.0970873786407767
0,FPS,10,0.2,0.10679611650485436
0,FPS,10,0.3,0.32038834951456313
0,FPS,10,0.05,0.0970873786407767
0,FPS,10,0.1,0.0970873786407767
0,FPS,10,0.2,0.10679611650485436
0,FPS,10,0.3,0.32038834951456313
0,FPS,10,0.05,0.0970873786407767
0,FPS,10,0.1,0.0970873786407767
0,FPS,10,0.2,0.10679611650485436
0,FPS,10,0.3,0.32038834951456313
0,FPS,10,0.05,0.0970873786407767
0,FPS,10,0.1,0.0970873786407767
0,FPS,10,0.2,0.10679611650485436
0,FPS,10,0.3,0.32038834951456313
0,FPS,10,0.05,0.0970873786407767
0,FPS,10,0.1,0.0970873786407767
0,FPS,10,0.2,0.10679611650485436
0,FPS,10,0.3,0.32038834951456313
1,MMR,10,0.05,0.02857142857142857
1,MMR,10,0.1,0.02857142857142857
1,MMR,10,0.2,0.08571428571428572
1,MMR,10,0.3,0.4657142857142857
1,MMR,10,0.05,0.02857142857142857
1,MMR,10,0.1,0.02857142857142857
1,MMR,10,0.2,0.08571428571428572
1,MMR,10,0.3,0.4657142857142857
1,MMR,10,0.05,0.02857142857142857
1,MMR,10,0.1,0.02857142857142857
1,MMR,10,0.2,0.08571428571428572
1,MMR,10,0.3,0.4657142857142857
1,MMR,10,0.05,0.02857142857142857
1,MMR,10,0.1,0.02857142857142857
1,MMR,10,0.2,0.08571428571428572
1,MMR,10,0.3,0.4657142857142857
1,MMR,10,0.05,0.02857142857142857
1,MMR,10,0.1,0.02857142857142857
1,MMR,10,0.2,0.08571428571428572
1,MMR,10,0.3,0.4657142857142857
1,MMR,10,0.05,0.02857142857142857
1,MMR,10,0.1,0.02857142857142857
1,MMR,10,0.2,0.08571428571428572
1,MMR,10,0.3,0.4657142857142857
1,MMR,10,0.05,0.02857142857142857
1,MMR,10,0.1,0.02857142857142857
1,MMR,10,0.2,0.08571428571428572
1,MMR,10,0.3,0.4657142857142857
1,MMR,10,0.05,0.02857142857142857
1,MMR,10,0.1,0.02857142857142857
1,MMR,10,0.2,0.08571428571428572
1,MMR,10,0.3,0.4657142857142857
1,MMR,10,0.05,0.02857142857142857
1,MMR,10,0.1,0.02857142857142857
1,MMR,10,0.2,0.08571428571428572
1,MMR,10,0.3,0.4657142857142857
1,MMR,10,0.05,0.02857142857142857
1,MMR,10,0.1,0.02857142857142857
1,MMR,10,0.2,0.08571428571428572
1,MMR,10,0.3,0.4657142857142857
1,FPS,10,0.05,0.02857142857142857
1,FPS,10,0.1,0.02857142857142857
1,FPS,10,0.2,0.03142857142857143
1,FPS,10,0.3,0.15142857142857144
1,FPS,10,0.05,0.02857142857142857
1,FPS,10,0.1,0.02857142857142857
1,FPS,10,0.2,0.03142857142857143
1,FPS,10,0.3,0.15142857142857144
1,FPS,10,0.05,0.02857142857142857
1,FPS,10,0.1,0.02857142857142857
1,FPS,10,0.2,0.03142857142857143
1,FPS,10,0.3,0.15142857142857144
