cluster,method,k,radius_cos,covered_frac
0,MMR,10,0.05,0.06666666666666667
0,MMR,10,0.1,0.06666666666666667
0,MMR,10,0.2,0.21333333333333335
0,MMR,10,0.3,0.6533333333333333
0,MMR,10,0.05,0.06666666666666667
0,MMR,10,0.1,0.06666666666666667
0,MMR,10,0.2,0.21333333333333335
0,MMR,10,0.3,0.6533333333333333
0,MMR,10,0.05,0.06666666666666667
0,MMR,10,0.1,0.06666666666666667
0,MMR,10,0.2,0.21333333333333335
0,MMR,10,0.3,0.6533333333333333
0,MMR,10,0.05,0.06666666666666667
0,MMR,10,0.1,0.06666666666666667
0,MMR,10,0.2,0.21333333333333335
0,MMR,10,0.3,0.6533333333333333
0,MMR,10,0.05,0.06666666666666667
0,MMR,10,0.1,0.06666666666666667
0,MMR,10,0.2,0.21333333333333335
0,MMR,10,0.3,0.6533333333333333
0,MMR,10,0.05,0.06666666666666667
0,MMR,10,0.1,0.06666666666666667
0,MMR,10,0.2,0.21333333333333335
0,MMR,10,0.3,0.6533333333333333
0,MMR,10,0.05,0.06666666666666667
0,MMR,10,0.1,0.06666666666666667
0,MMR,10,0.2,0.21333333333333335
0,MMR,10,0.3,0.6533333333333333
0,MMR,10,0.05,0.06666666666666667
0,MMR,10,0.1,0.06666666666666667
0,MMR,10,0.2,0.21333333333333335
0,MMR,10,0.3,0.6533333333333333
0,MMR,10,0.05,0.06666666666666667
0,MMR,10,0.1,0.06666666666666667
0,MMR,10,0.2,0.21333333333333335
0,MMR,10,0.3,0.6533333333333333
0,MMR,10,0.05,0.06666666666666667
0,MMR,10,0.1,0.06666666666666667
0,MMR,10,0.2,0.21333333333333335
0,MMR,10,0.3,0.6533333333333333
0,FPS,10,0.05,0.06666666666666667
0,FPS,10,0.1,0.06666666666666667
0,FPS,10,0.2,0.09333333333333334
0,FPS,10,0.3,0.31333333333333335
0,FPS,10,0.05,0.06666666666666667
0,FPS,10,0.1,0.06666666666666667
0,FPS,10,0.2,0.09333333333333334
0,FPS,10,0.3,0.31333333333333335
0,FPS,10,0.05,0.06666666666666667
0,FPS,10,0.1,0.06666666666666667
0,FPS,10,0.2,0.09333333333333334
0,FPS,10,0.3,0.31333333333333335
0,FPS,10,0.05,0.06666666666666667
0,FPS,10,0.1,0.06666666666666667
0,FPS,10,0.2,0.09333333333333334
0,FPS,10,0.3,0.31333333333333335
0,FPS,10,0.05,0.06666666666666667
0,FPS,10,0.1,0.06666666666666667
0,FPS,10,0.2,0.09333333333333334
0,FPS,10,0.3,0.31333333333333335
0,FPS,10,0.05,0.06666666666666667
0,FPS,10,0.1,0.06666666666666667
0,FPS,10,0.2,0.09333333333333334
0,FPS,10,0.3,0.31333333333333335
0,FPS,10,0.05,0.06666666666666667
0,FPS,10,0.1,0.06666666666666667
0,FPS,10,0.2,0.09333333333333334
0,FPS,10,0.3,0.31333333333333335
0,FPS,10,0.05,0.06666666666666667
0,FPS,10,0.1,0.06666666666666667
0,FPS,10,0.2,0.09333333333333334
0,FPS,10,0.3,0.31333333333333335
0,FPS,10,0.05,0.06666666666666667
0,FPS,10,0.1,0.06666666666666667
0,FPS,10,0.2,0.09333333333333334
0,FPS,10,0.3,0.31333333333333335
0,FPS,10,0.05,0.06666666666666667
0,FPS,10,0.1,0.06666666666666667
0,FPS,10,0.2,0.09333333333333334
0,FPS,10,0.3,0.31333333333333335
1,MMR,10,0.05,0.060240963855421686
1,MMR,10,0.1,0.060240963855421686
1,MMR,10,0.2,0.10240963855421686
1,MMR,10,0.3,0.5
1,MMR,10,0.05,0.060240963855421686
1,MMR,10,0.1,0.060240963855421686
1,MMR,10,0.2,0.10240963855421686
1,MMR,10,0.3,0.5
1,MMR,10,0.05,0.060240963855421686
1,MMR,10,0.1,0.060240963855421686
1,MMR,10,0.2,0.10240963855421686
1,MMR,10,0.3,0.5
1,MMR,10,0.05,0.060240963855421686
1,MMR,10,0.1,0.060240963855421686
1,MMR,10,0.2,0.10240963855421686
1,MMR,10,0.3,0.5
1,MMR,10,0.05,0.060240963855421686
1,MMR,10,0.1,0.060240963855421686
1,MMR,10,0.2,0.10240963855421686
1,MMR,10,0.3,0.5
1,MMR,10,0.05,0.060240963855421686
1,MMR,10,0.1,0.060240963855421686
1,MMR,10,0.2,0.10240963855421686
1,MMR,10,0.3,0.5
1,MMR,10,0.05,0.060240963855421686
1,MMR,10,0.1,0.060240963855421686
1,MMR,10,0.2,0.10240963855421686
1,MMR,10,0.3,0.5
1,MMR,10,0.05,0.060240963855421686
1,MMR,10,0.1,0.060240963855421686
1,MMR,10,0.2,0.10240963855421686
1,MMR,10,0.3,0.5
1,MMR,10,0.05,0.060240963855421686
1,MMR,10,0.1,0.060240963855421686
1,MMR,10,0.2,0.10240963855421686
1,MMR,10,0.3,0.5
1,MMR,10,0.05,0.060240963855421686
1,MMR,10,0.1,0.060240963855421686
1,MMR,10,0.2,0.10240963855421686
1,MMR,10,0.3,0.5
1,FPS,10,0.05,0.060240963855421686
1,FPS,10,0.1,0.060240963855421686
1,FPS,10,0.2,0.060240963855421686
1,FPS,10,0.3,0.21686746987951808
1,FPS,10,0.05,0.060240963855421686
1,FPS,10,0.1,0.060240963855421686
1,FPS,10,0.2,0.060240963855421686
1,FPS,10,0.3,0.21686746987951808
1,FPS,10,0.05,0.060240963855421686
1,FPS,10,0.1,0.060240963855421686
1,FPS,10,0.2,0.060240963855421686
1,FPS,10,0.3,0.21686746987951808
1,FPS,10,0.05,0.060240963855421686
1,FPS,10,0.1,0.060240963855421686
1,FPS,10,0.2,0.060240963855421686
1,FPS,10,0.3,0.21686746987951808
1,FPS,10,0.05,0.060240963855421686
1,FPS,10,0.1,0.060240963855421686
1,FPS,10,0.2,0.060240963855421686
1,FPS,10,0.3,0.21686746987951808
1,FPS,10,0.05,0.060240963855421686
1,FPS,10,0.1,0.060240963855421686
