cluster,method,k,radius_cos,covered_frac
0,MMR,5,0.05,1.0
0,MMR,5,0.1,1.0
0,MMR,5,0.2,1.0
0,MMR,5,0.3,1.0
0,MMR,5,0.05,1.0
0,MMR,5,0.1,1.0
0,MMR,5,0.2,1.0
0,MMR,5,0.3,1.0
0,MMR,5,0.05,1.0
0,MMR,5,0.1,1.0
0,MMR,5,0.2,1.0
0,MMR,5,0.3,1.0
0,MMR,5,0.05,1.0
0,MMR,5,0.1,1.0
0,MMR,5,0.2,1.0
0,MMR,5,0.3,1.0
0,MMR,5,0.05,1.0
0,MMR,5,0.1,1.0
0,MMR,5,0.2,1.0
0,MMR,5,0.3,1.0
0,FPS,5,0.05,1.0
0,FPS,5,0.1,1.0
0,FPS,5,0.2,1.0
0,FPS,5,0.3,1.0
0,FPS,5,0.05,1.0
0,FPS,5,0.1,1.0
0,FPS,5,0.2,1.0
0,FPS,5,0.3,1.0
0,FPS,5,0.05,1.0
0,FPS,5,0.1,1.0
0,FPS,5,0.2,1.0
0,FPS,5,0.3,1.0
0,FPS,5,0.05,1.0
0,FPS,5,0.1,1.0
0,FPS,5,0.2,1.0
0,FPS,5,0.3,1.0
0,FPS,5,0.05,1.0
0,FPS,5,0.1,1.0
0,FPS,5,0.2,1.0
0,FPS,5,0.3,1.0
1,MMR,10,0.05,0.2222222222222222
1,MMR,10,0.1,0.2222222222222222
1,MMR,10,0.2,0.26666666666666666
1,MMR,10,0.3,0.6444444444444445
1,MMR,10,0.05,0.2222222222222222
1,MMR,10,0.1,0.2222222222222222
1,MMR,10,0.2,0.26666666666666666
1,MMR,10,0.3,0.6444444444444445
1,MMR,10,0.05,0.2222222222222222
1,MMR,10,0.1,0.2222222222222222
1,MMR,10,0.2,0.26666666666666666
1,MMR,10,0.3,0.6444444444444445
1,MMR,10,0.05,0.2222222222222222
1,MMR,10,0.1,0.2222222222222222
1,MMR,10,0.2,0.26666666666666666
1,MMR,10,0.3,0.6444444444444445
1,MMR,10,0.05,0.2222222222222222
1,MMR,10,0.1,0.2222222222222222
1,MMR,10,0.2,0.26666666666666666
1,MMR,10,0.3,0.6444444444444445
1,MMR,10,0.05,0.2222222222222222
1,MMR,10,0.1,0.2222222222222222
1,MMR,10,0.2,0.26666666666666666
1,MMR,10,0.3,0.6444444444444445
1,MMR,10,0.05,0.2222222222222222
1,MMR,10,0.1,0.2222222222222222
1,MMR,10,0.2,0.26666666666666666
1,MMR,10,0.3,0.6444444444444445
1,MMR,10,0.05,0.2222222222222222
1,MMR,10,0.1,0.2222222222222222
1,MMR,10,0.2,0.26666666666666666
1,MMR,10,0.3,0.6444444444444445
1,MMR,10,0.05,0.2222222222222222
1,MMR,10,0.1,0.2222222222222222
1,MMR,10,0.2,0.26666666666666666
1,MMR,10,0.3,0.6444444444444445
1,MMR,10,0.05,0.2222222222222222
1,MMR,10,0.1,0.2222222222222222
1,MMR,10,0.2,0.26666666666666666
1,MMR,10,0.3,0.6444444444444445
1,FPS,10,0.05,0.2222222222222222
1,FPS,10,0.1,0.2222222222222222
1,FPS,10,0.2,0.2222222222222222
1,FPS,10,0.3,0.3111111111111111
1,FPS,10,0.05,0.2222222222222222
1,FPS,10,0.1,0.2222222222222222
1,FPS,10,0.2,0.2222222222222222
1,FPS,10,0.3,0.3111111111111111
1,FPS,10,0.05,0.2222222222222222
1,FPS,10,0.1,0.2222222222222222
1,FPS,10,0.2,0.2222222222222222
1,FPS,10,0.3,0.3111111111111111
1,FPS,10,0.05,0.2222222222222222
1,FPS,10,0.1,0.2222222222222222
1,FPS,10,0.2,0.2222222222222222
1,FPS,10,0.3,0.3111111111111111
1,FPS,10,0.05,0.2222222222222222
1,FPS,10,0.1,0.2222222222222222
1,FPS,10,0.2,0.2222222222222222
1,FPS,10,0.3,0.3111111111111111
1,FPS,10,0.05,0.2222222222222222
1,FPS,10,0.1,0.2222222222222222
1,FPS,10,0.2,0.2222222222222222
1,FPS,10,0.3,0.3111111111111111
1,FPS,10,0.05,0.2222222222222222
1,FPS,10,0.1,0.2222222222222222
1,FPS,10,0.2,0.2222222222222222
1,FPS,10,0.3,0.3111111111111111
1,FPS,10,0.05,0.2222222222222222
1,FPS,10,0.1,0.2222222222222222
1,FPS,10,0.2,0.2222222222222222
1,FPS,10,0.3,0.3111111111111111
1,FPS,10,0.05,0.2222222222222222
1,FPS,10,0.1,0.2222222222222222
1,FPS,10,0.2,0.2222222222222222
1,FPS,10,0.3,0.3111111111111111
1,FPS,10,0.05,0.2222222222222222
1,FPS,10,0.1,0.2222222222222222
1,FPS,10,0.2,0.2222222222222222
1,FPS,10,0.3,0.3111111111111111
